Country name,Year,Population,Population of children under the age of 1,Population aged 20 to 29 years
Afghanistan,2021,40099460,1368682,7322711
Africa (UN),2021,1393676400,43436140,230999710
Albania,2021,2854710,28218,447033
Algeria,2021,44177964,946304,6228986
American Samoa,2021,45056,787,7580
Andorra,2021,79057,336,9231
Angola,2021,34503776,1275484,5470351
Anguilla,2021,15779,150,1953
Antigua and Barbuda,2021,93229,1123,14431
Argentina,2021,45276788,627545,7012995
Armenia,2021,2790971,34060,384945
Aruba,2021,106543,807,11804
Asia (UN),2021,4694576000,66681124,716526700
Australia,2021,25921094,298603,3611925
Austria,2021,8922086,84112,1080609
Azerbaijan,2021,10312992,127570,1544032
Bahamas,2021,407920,4631,68929
Bahrain,2021,1463266,17818,209209
Bangladesh,2021,169356240,2957644,31043512
Barbados,2021,281204,3018,36952
Belarus,2021,9578172,88439,991005
Belgium,2021,11611416,116052,1410119
Belize,2021,400037,7064,76368
Benin,2021,12996901,451776,2169517
Bermuda,2021,64213,505.99997,6181
Bhutan,2021,777500,9543,153296
Bolivia,2021,12079474,257303.02,2182938
Bonaire Sint Eustatius and Saba,2021,26730,282,3043
Bosnia and Herzegovina,2021,3270948,28459,391808
Botswana,2021,2588424,59559,446588
Brazil,2021,214326220,2743222,34042476
British Virgin Islands,2021,31145,230,4268
Brunei,2021,445382,6149,68706
Bulgaria,2021,6885864,58299,654049
Burkina Faso,2021,22100690,749610,3654549
Burundi,2021,12551215,422264,1862597
Cambodia,2021,16589031,316916,2680739
Cameroon,2021,27198632,909149,4604156
Canada,2021,38155012,373863,5091867
Cape Verde,2021,587936,9869,114511
Cayman Islands,2021,68157,660,8990
Central African Republic,2021,5457165,217887,911393
Chad,2021,17179744,699185,2756895
Chile,2021,19493184,229215,3039790
China,2021,1425893500,11501936,174028860
Colombia,2021,51516560,728293,8967150
Comoros,2021,821632,23262,139836
Congo,2021,5835814,173538,904253
Cook Islands,2021,17028,277,2325
Costa Rica,2021,5153959,61382,814873
Cote d'Ivoire,2021,27478250,884803,4744253
Croatia,2021,4060139,35075,467719
Cuba,2021,11256373,102559,1419553
Curacao,2021,190348,2144,30948
Cyprus,2021,1244193,12964,161607
Czechia,2021,10510748,105332,1068917
Democratic Republic of Congo,2021,95894120,3813316,15304682
Denmark,2021,5854246,62495,778822
Djibouti,2021,1105562,23731,197696
Dominica,2021,72435,951,13014
Dominican Republic,2021,11117873,200802,1889973
East Timor,2021,1320944,31933,249021
Ecuador,2021,17797736,296920,3123956
Egypt,2021,109262184,2435522,17634140
El Salvador,2021,6314165,100357,1260983
Equatorial Guinea,2021,1634473,47635,260708
Eritrea,2021,3620324,100224,628516
Estonia,2021,1328704,13801,136967
Eswatini,2021,1192273,28063,216364
Ethiopia,2021,120283020,3754003,21979042
Europe (UN),2021,745173760,6881596,83254584
Falkland Islands,2021,3786,43,416
Faroe Islands,2021,52915,749,6004
Fiji,2021,924615,17646,148559
Finland,2021,5535982,46791,657359
France,2021,64531450,657766,7156695
French Guiana,2021,297462,7439,46060
French Polynesia,2021,304038,3872,44027
Gabon,2021,2341185,61906,385876
Gambia,2021,2639922,84971,439817
Georgia,2021,3757984,49238,460127
Germany,2021,83408560,764994,9465635
Ghana,2021,32833036,878148,5438816
Gibraltar,2021,32698,350,3919
Greece,2021,10445368,80566,1090782
Greenland,2021,56266,809,8389
Grenada,2021,124624,1978,19427
Guadeloupe,2021,396057,4422,53464
Guam,2021,170546,2752,25030
Guatemala,2021,17608484,368640,3397720
Guernsey,2021,63092,604,8860
Guinea,2021,13531909,440647,2457551
Guinea-Bissau,2021,2060730,61311,354689
Guyana,2021,804571,15972,147924
Haiti,2021,11447575,259443,2083203
High-income countries,2021,1245565600,12149056,153117420
Honduras,2021,10278346,213746,1977388
Hong Kong,2021,7494580,47160,801514
Hungary,2021,9709784,92629,1132783
Iceland,2021,370338,4553,54967
India,2021,1407563900,22600596,246912060
Indonesia,2021,273753180,4435250,43068230
Iran,2021,87923430,1210915,12379827
Iraq,2021,43533590,1164101,7689413
Ireland,2021,4986525,59234,603915
Isle of Man,2021,84286,692,8701
Israel,2021,8900057,174648,1241888
Italy,2021,59240336,409937,6010341
Jamaica,2021,2827701,32861,518812
Japan,2021,124612530,823218,12124980
Jersey,2021,109634,1121,15045
Jordan,2021,11148288,241394,1989316
Kazakhstan,2021,19196468,417132,2471358
Kenya,2021,53005616,1414928,9348716
Kiribati,2021,128883,3390,22595
Kosovo,2021,1662022,18341,273310
Kuwait,2021,4250111,46760,334253
Kyrgyzstan,2021,6527742,156947,1087481
Land-locked developing countries (LLDC),2021,550846400,16591539,94680470
Laos,2021,7425055,158809,1388995
Latin America and the Caribbean (UN),2021,656098100,9661352,107053940
Latvia,2021,1873926,16546,184626
Least developed countries,2021,1099568600,33029824,190038960
Lebanon,2021,5592626,83772,809035
Lesotho,2021,2281464,56628,423804
Less developed regions,2021,6633179000,119277530,1044786500
Less developed regions excluding China,2021,5175244300,107534820,866693250
Less developed regions excluding least developed countries,2021,5533610500,86247704,854747500
Liberia,2021,5193422,154797,844139
Libya,2021,6735280,119904,1054680
Liechtenstein,2021,39058,353,4459
Lithuania,2021,2786652,26746,317688
Low-income countries,2021,718255100,23797760,122725000
Lower-middle-income countries,2021,3396756500,67773864,573912800
Luxembourg,2021,639330,6582,86084
Macao,2021,686616,7380,102215
Madagascar,2021,28915652,862836,5143962
Malawi,2021,19889742,633160,3416741
Malaysia,2021,33573870,508935,5830052
Maldives,2021,521469,7393,95568
Mali,2021,21904990,862041,3408907
Malta,2021,526751,4668,77290
Marshall Islands,2021,42074,830,5469
Martinique,2021,368799,3491,42141
Mauritania,2021,4614981,146269,769167
Mauritius,2021,1298922,13280,195937
Mayotte,2021,316022,10581,43422
Mexico,2021,126705140,1902031,20844146
Micronesia (country),2021,113143,2297,21615
Moldova,2021,3061509,37941,387131
